Username,Date Joined 
Angola,September 13 2020
Anguilla,May 30 2019
Argentina,July 13 2016
Aruba,April 22 2020
Australia,October 18 2020
Austria,March 27 2017
Bahamas,August 07 2019
Bangladesh,June 17 2020
Belarus,April 23 2020
Belgium,December 25 2018
Belize,December 27 2018
Bermuda,May 22 2020
Bhutan,Febuary 08 2019
Bolivia,November 20 2020
Bonaire,May 25 2020
Brazil,November 28 2018
Burundi,July 10 2019
Cameroon,January 10 2019
Canada,July 28 2019
Chad,June 07 2011
China,January 01 2016
Colombia,December 25 2018
Congo,August 11 2014
Congo,August 11 2014
CostaRica,May 28 2017
Croatia,March 22 2018
Cuba,May 08 2019
Cyprus,October 20 2018
Denmark,April 16 2019
Dominica,June 02 2018
Ecuador,May 06 2019
Egypt,July 26 2018
Fiji,April 27 2019
France,December 02 2014
Gambia,Febuary 01 2019
Georgia,October 01 2014
Germany,January 21 2020
Ghana,May 31 2019
Greece,November 04 2018
Greenland,July 05 2019
Guernsey,August 18 2019
Guinea,May 05 2017
Iceland,September 07 2019
India,July 15 2009
Iran,Febuary 28 2017
Iraq,June 08 2020
Ireland,March 11 2018
IsleofMan,December 17 2019
Israel,October 28 2011
Italy,April 26 2020
Jamaica,August 11 2016
Japan,March 15 2019
Jersey,May 12 2018
Jordan,April 01 2013
Kazakhstan,October 25 2019
Kenya,November 29 2012
Laos,August 22 2020
Latvia,May 24 2019
Lebanon,November 27 2020
Liberia,April 26 2020
Libya,November 12 2020
Lithuania,May 03 2020
Macao,April 12 2018
Madagascar,August 05 2019
Malaysia,July 10 2020
Maldives,January 25 2018
Mali,August 08 2016
Martinique,April 25 2020
Mauritania,Febuary 25 2019
Mauritius,April 24 2020
Monaco,April 06 2018
Montenegro,June 06 2020
Montserrat,September 23 2014
Morocco,October 17 2017
Namibia,March 17 2018
Nepal,May 23 2020
NewZealand,April 16 2019
Nicaragua,September 16 2019
Nigeria,May 11 2019
Norway,Febuary 20 2019
Oman,March 22 2018
Pakistan,September 27 2019
Palau,August 07 2020
Panama,June 21 2020
Peru,November 12 2018
Philippines,April 29 2020
Portugal,August 05 2017
PuertoRico,June 15 2018
Qatar,May 20 2020
Rwanda,June 18 2018
SouthAfrica,January 06 2019
Spain,April 23 2018
SriLanka,June 02 2020
Sudan,September 22 2015
Suriname,October 10 2020
Swaziland,March 31 2016
Sweden,November 05 2018
Switzerland,August 06 2017
Syria,May 23 2018
Taiwan,March 30 2018
Tanzania,August 05 2020
Thailand,April 21 2020
Togo,June 27 2018
Tonga,Febuary 14 2017
Tunisia,October 19 2017
Turkey,May 09 2016
Yemen,August 09 2019
Zambia,Febuary 27 2017
Zimbabwe,August 17 2019
Afghanistan,Not Taken
Albania,Not Taken
Algeria,Not Taken
American Samoa,Not Taken
Andorra,Not Taken
AntiguaandBarbuda,Not Taken
Armenia,Not Taken
Azerbaijan,Not Taken
Bahrain,Not Taken
Barbados,Not Taken
Benin,Not Taken
BosniaandHerzegovina,Not Taken
Botswana,Not Taken
Bouvet Island,Not Taken
Brunei,Not Taken
Bulgaria,Not Taken
Burkina Faso,Not Taken
Cambodia,Not Taken
CapeVerde,Not Taken
CaymanIslands,Not Taken
CentralAfricanRepublic,Not Taken
Chile,Not Taken
ChristmasIsland,Not Taken
CocosIslands,Not Taken
Comoros,Not Taken
CookIslands,Not Taken
CotedIvoire,Not Taken
Curacao,Not Taken
CzechRepublic,Not Taken
Djibouti,Not Taken
DominicanRepublic,Not Taken
El Salvador,Not Taken
EquatorialGuinea,Not Taken
Eritrea,Not Taken
Estonia,Not Taken
Ethiopia,Not Taken
FalklandIslands,Not Taken
FaroeIslands,Not Taken
Finland,Not Taken
FrenchGuiana,Not Taken
FrenchPolynesia,Not Taken
Gabon,Not Taken
Gibraltar,Not Taken
